arm,seed,rmse,persistence,skill,b2_rmse,delta_vs_b2,params
B1 (context),42,17.254837036132812,19.11260414123535,0.09720115016113452,16.508562088012695,-0.7462749481201172,17217
B1 (context),43,16.307798385620117,17.97795867919922,0.09290044122259015,15.571388244628906,-0.7364101409912109,17217
B1 (context),44,20.3840389251709,20.755931854248047,0.017917428698872626,17.872066497802734,-2.511972427368164,17217
B1 (context),45,16.87846565246582,18.384902954101562,0.08193882259790036,16.104585647583008,-0.7738800048828125,17217
B1 (context),46,15.564866065979004,16.996112823486328,0.08421024103402837,15.068581581115723,-0.49628448486328125,17217
B1 (context),47,18.21786117553711,19.918912887573242,0.08539882279907772,17.69782257080078,-0.5200386047363281,17217
B1 (context),48,17.026798248291016,18.424585342407227,0.07586532169595009,16.433534622192383,-0.5932636260986328,17217
B1 (context),49,19.05434799194336,20.035024642944336,0.04894811304094592,18.113643646240234,-0.940704345703125,17217
B1 (context),50,19.20254898071289,20.844676971435547,0.07877924867691365,18.472932815551758,-0.7296161651611328,17217
B1 (context),51,16.01685905456543,17.95376968383789,0.10788322805633858,15.732037544250488,-0.2848215103149414,17217
B1 (context),52,18.649375915527344,20.654285430908203,0.09706990455262146,17.729450225830078,-0.9199256896972656,17217
b3 static HRFAE,42,16.549144744873047,19.11260414123535,0.1341240250370515,16.508562088012695,-0.04058265686035156,17249
b3 static HRFAE,43,15.682047843933105,17.97795867919922,0.12770698143402223,15.571388244628906,-0.11065959930419922,17249
b3 static HRFAE,44,17.889135360717773,20.755931854248047,0.13811938262572085,17.872066497802734,-0.017068862915039062,17249
b3 static HRFAE,45,16.03663444519043,18.384902954101562,0.12772808835454028,16.104585647583008,0.06795120239257812,17249
b3 static HRFAE,46,14.97192668914795,16.996112823486328,0.11909700502465644,15.068581581115723,0.09665489196777344,17249
b3 static HRFAE,47,17.536075592041016,19.918912887573242,0.11962687466838619,17.69782257080078,0.16174697875976562,17249
b3 static HRFAE,48,16.505664825439453,18.424585342407227,0.104149997479241,16.433534622192383,-0.07213020324707031,17249
b3 static HRFAE,49,18.371143341064453,20.035024642944336,0.08304862766744069,18.113643646240234,-0.25749969482421875,17249
b3 static HRFAE,50,18.354406356811523,20.844676971435547,0.1194679398503781,18.472932815551758,0.11852645874023438,17249
b3 static HRFAE,51,15.695134162902832,17.95376968383789,0.1258028570439053,15.732037544250488,0.03690338134765625,17249
b3 static HRFAE,52,17.847511291503906,20.654285430908203,0.1358930643615531,17.729450225830078,-0.11806106567382812,17249
b3 channels HRFAE,42,17.078596115112305,19.11260414123535,0.10642233842612187,16.508562088012695,-0.5700340270996094,18269
b3 channels HRFAE,43,16.72343635559082,17.97795867919922,0.06978113288578755,15.571388244628906,-1.152048110961914,18269
b3 channels HRFAE,44,18.42868423461914,20.755931854248047,0.11212445849077098,17.872066497802734,-0.5566177368164062,18269
b3 channels HRFAE,45,16.83234214782715,18.384902954101562,0.08444759323181779,16.104585647583008,-0.7277565002441406,18269
b3 channels HRFAE,46,15.581092834472656,16.996112823486328,0.08325550693322685,15.068581581115723,-0.5125112533569336,18269
b3 channels HRFAE,47,18.372900009155273,19.918912887573242,0.0776153240462473,17.69782257080078,-0.6750774383544922,18269
b3 channels HRFAE,48,17.889816284179688,18.424585342407227,0.029024754060363017,16.433534622192383,-1.4562816619873047,18269
b3 channels HRFAE,49,20.5081729888916,20.035024642944336,-0.023616060093736527,18.113643646240234,-2.394529342651367,18269
b3 channels HRFAE,50,20.262157440185547,20.844676971435547,0.027945721204903018,18.472932815551758,-1.789224624633789,18269
b3 channels HRFAE,51,16.43404197692871,17.95376968383789,0.08464671952861516,15.732037544250488,-0.7020044326782227,18269
b3 channels HRFAE,52,18.889629364013672,20.654285430908203,0.08543776897039504,17.729450225830078,-1.1601791381835938,18269
