architecture,seed,rmse,persistence,skill,params
LSTM,42,17.254837036132812,19.11260414123535,0.09720115016113452,17217
LSTM,43,16.307798385620117,17.97795867919922,0.09290044122259015,17217
LSTM,44,20.3840389251709,20.755931854248047,0.017917428698872626,17217
LSTM,45,16.87846565246582,18.384902954101562,0.08193882259790036,17217
LSTM,46,15.564866065979004,16.996112823486328,0.08421024103402837,17217
LSTM,47,18.21786117553711,19.918912887573242,0.08539882279907772,17217
LSTM,48,17.026798248291016,18.424585342407227,0.07586532169595009,17217
LSTM,49,19.05434799194336,20.035024642944336,0.04894811304094592,17217
LSTM,50,19.20254898071289,20.844676971435547,0.07877924867691365,17217
LSTM,51,16.01685905456543,17.95376968383789,0.10788322805633858,17217
LSTM,52,18.649375915527344,20.654285430908203,0.09706990455262146,17217
BiLSTM,42,17.220500946044922,19.11260414123535,0.09899766568744163,34433
BiLSTM,43,16.36110496520996,17.97795867919922,0.08993533375176699,34433
BiLSTM,44,19.134510040283203,20.755931854248047,0.0781184783873239,34433
BiLSTM,45,17.07139015197754,18.384902954101562,0.07144518550917815,34433
BiLSTM,46,15.933574676513672,16.996112823486328,0.06251653881141411,34433
BiLSTM,47,18.08761215209961,19.918912887573242,0.09193778525012383,34433
BiLSTM,48,17.21914291381836,18.424585342407227,0.06542575619405351,34433
BiLSTM,49,19.554655075073242,20.035024642944336,0.023976489993500646,34433
BiLSTM,50,19.15873146057129,20.844676971435547,0.08088134506351857,34433
BiLSTM,51,16.414222717285156,17.95376968383789,0.08575062472471424,34433
BiLSTM,52,18.770713806152344,20.654285430908203,0.0911951968058493,34433
Attention-LSTM,42,17.170780181884766,19.11260414123535,0.10159913034357836,17282
Attention-LSTM,43,16.263559341430664,17.97795867919922,0.09536117911718986,17282
Attention-LSTM,44,19.51174545288086,20.755931854248047,0.05994365418541996,17282
Attention-LSTM,45,16.977378845214844,18.384902954101562,0.07655869124795725,17282
Attention-LSTM,46,15.792134284973145,16.996112823486328,0.07083846471349897,17282
Attention-LSTM,47,18.165382385253906,19.918912887573242,0.08803344400453231,17282
Attention-LSTM,48,16.89054298400879,18.424585342407227,0.08326061780438475,17282
Attention-LSTM,49,19.34091567993164,20.035024642944336,0.03464477710323841,17282
Attention-LSTM,50,19.1710262298584,20.844676971435547,0.08029151729578883,17282
Attention-LSTM,51,16.04084587097168,17.95376968383789,0.10654719574509404,17282
Attention-LSTM,52,18.723445892333984,20.654285430908203,0.09348372496512539,17282
