rung,seed,rmse,persistence,skill,b1_rmse,delta,params,ladder
T,42,16.765249252319336,19.11260414123535,0.12281711438011782,17.254837036132812,0.48958778381347656,17220,2
T,43,15.88171100616455,17.97795867919922,0.1166009840405329,16.307798385620117,0.4260873794555664,17220,2
T,44,18.076175689697266,20.755931854248047,0.12910796698353605,20.3840389251709,2.307863235473633,17220,2
T,45,16.387296676635742,18.384902954101562,0.10865470883653298,16.87846565246582,0.4911689758300781,17220,2
T,46,15.2886323928833,16.996112823486328,0.1004629969414842,15.564866065979004,0.2762336730957031,17220,2
T,47,17.577951431274414,19.918912887573242,0.11752455917206593,18.21786117553711,0.6399097442626953,17220,2
T,48,16.510692596435547,18.424585342407227,0.10387711367194459,17.026798248291016,0.5161056518554688,17220,2
T,49,18.419452667236328,20.035024642944336,0.08063738400626116,19.05434799194336,0.6348953247070312,17220,2
T,50,18.5773983001709,20.844676971435547,0.10877015145744923,19.20254898071289,0.6251506805419922,17220,2
T,51,15.636417388916016,17.95376968383789,0.12907329968747297,16.01685905456543,0.38044166564941406,17220,2
T,52,17.970565795898438,20.654285430908203,0.12993524486660288,18.649375915527344,0.6788101196289062,17220,2
"T,C",42,16.567598342895508,19.11260414123535,0.13315850522164094,17.254837036132812,0.6872386932373047,17222,2
"T,C",43,15.63636589050293,17.97795867919922,0.13024797923278958,16.307798385620117,0.6714324951171875,17222,2
"T,C",44,17.7935791015625,20.755931854248047,0.14272318744770074,20.3840389251709,2.5904598236083984,17222,2
"T,C",45,16.066038131713867,18.384902954101562,0.12612874966905227,16.87846565246582,0.8124275207519531,17222,2
"T,C",46,14.93623161315918,16.996112823486328,0.1211971956011419,15.564866065979004,0.6286344528198242,17222,2
"T,C",47,17.6960391998291,19.918912887573242,0.11159613480366787,18.21786117553711,0.5218219757080078,17222,2
"T,C",48,16.555084228515625,18.424585342407227,0.10146774427474554,17.026798248291016,0.4717140197753906,17222,2
"T,C",49,18.502647399902344,20.035024642944336,0.07648491930263955,19.05434799194336,0.5517005920410156,17222,2
"T,C",50,18.48314094543457,20.844676971435547,0.1132920423394952,19.20254898071289,0.7194080352783203,17222,2
"T,C",51,15.492066383361816,17.95376968383789,0.13711344992311653,16.01685905456543,0.5247926712036133,17222,2
"T,C",52,17.79810905456543,20.654285430908203,0.13828492812773058,18.649375915527344,0.8512668609619141,17222,2
