sweep_param,sweep_value,seed,test_rmse,persistence_rmse,skill,val_rmse,epochs,params
hidden_size,32,42,17.3137,19.1126,0.0941,19.1283,82,4513
hidden_size,32,43,16.2373,17.9780,0.0968,17.6391,90,4513
hidden_size,32,44,18.9927,20.7559,0.0850,17.0891,87,4513
hidden_size,32,45,17.0456,18.3849,0.0728,19.6049,77,4513
hidden_size,32,46,15.7332,16.9961,0.0743,18.6912,74,4513
hidden_size,32,47,18.2675,19.9189,0.0829,17.8524,100,4513
hidden_size,32,48,17.0605,18.4246,0.0740,17.7385,94,4513
hidden_size,32,49,26.0329,20.0350,-0.2994,18.0504,47,4513
hidden_size,32,50,19.3675,20.8447,0.0709,18.0667,73,4513
hidden_size,32,51,15.9901,17.9538,0.1094,17.2683,100,4513
hidden_size,32,52,18.8257,20.6543,0.0885,18.3795,100,4513
hidden_size,64,42,17.2548,19.1126,0.0972,19.1007,48,17217
hidden_size,64,43,16.3078,17.9780,0.0929,17.6782,46,17217
hidden_size,64,44,20.3840,20.7559,0.0179,17.1181,44,17217
hidden_size,64,45,16.8785,18.3849,0.0819,19.6658,61,17217
hidden_size,64,46,15.5649,16.9961,0.0842,18.6591,66,17217
hidden_size,64,47,18.2179,19.9189,0.0854,17.7781,65,17217
hidden_size,64,48,17.0268,18.4246,0.0759,17.7046,75,17217
hidden_size,64,49,19.0543,20.0350,0.0489,17.9068,59,17217
hidden_size,64,50,19.2025,20.8447,0.0788,18.0460,56,17217
hidden_size,64,51,16.0169,17.9538,0.1079,17.2796,70,17217
hidden_size,64,52,18.6494,20.6543,0.0971,18.2969,89,17217
hidden_size,128,42,17.2498,19.1126,0.0975,19.0840,61,67201
hidden_size,128,43,16.2262,17.9780,0.0974,17.5729,49,67201
hidden_size,128,44,19.5545,20.7559,0.0579,17.1079,38,67201
hidden_size,128,45,16.9340,18.3849,0.0789,19.5892,55,67201
hidden_size,128,46,15.5547,16.9961,0.0848,18.6786,43,67201
hidden_size,128,47,18.2431,19.9189,0.0841,17.8570,58,67201
hidden_size,128,48,16.8002,18.4246,0.0882,17.7332,45,67201
hidden_size,128,49,19.0835,20.0350,0.0475,17.9671,46,67201
hidden_size,128,50,19.2227,20.8447,0.0778,18.0336,44,67201
hidden_size,128,51,16.0372,17.9538,0.1067,17.3137,50,67201
hidden_size,128,52,18.7268,20.6543,0.0933,18.2293,62,67201
num_layers,1,42,17.2548,19.1126,0.0972,19.1007,48,17217
num_layers,1,43,16.3078,17.9780,0.0929,17.6782,46,17217
num_layers,1,44,20.3840,20.7559,0.0179,17.1181,44,17217
num_layers,1,45,16.8785,18.3849,0.0819,19.6658,61,17217
num_layers,1,46,15.5649,16.9961,0.0842,18.6591,66,17217
num_layers,1,47,18.2179,19.9189,0.0854,17.7781,65,17217
num_layers,1,48,17.0268,18.4246,0.0759,17.7046,75,17217
num_layers,1,49,19.0543,20.0350,0.0489,17.9068,59,17217
num_layers,1,50,19.2025,20.8447,0.0788,18.0460,56,17217
num_layers,1,51,16.0169,17.9538,0.1079,17.2796,70,17217
num_layers,1,52,18.6494,20.6543,0.0971,18.2969,89,17217
num_layers,2,42,17.1482,19.1126,0.1028,19.0224,52,50497
num_layers,2,43,16.1379,17.9780,0.1024,17.5951,44,50497
num_layers,2,44,22.1872,20.7559,-0.0690,17.1651,36,50497
num_layers,2,45,16.9338,18.3849,0.0789,19.5803,55,50497
num_layers,2,46,15.6133,16.9961,0.0814,18.6506,53,50497
num_layers,2,47,18.2127,19.9189,0.0857,17.8073,64,50497
num_layers,2,48,16.9182,18.4246,0.0818,17.6373,64,50497
num_layers,2,49,26.3514,20.0350,-0.3153,17.8757,32,50497
num_layers,2,50,19.2163,20.8447,0.0781,17.9071,54,50497
num_layers,2,51,15.7499,17.9538,0.1228,17.2073,62,50497
num_layers,2,52,18.7845,20.6543,0.0905,18.3633,72,50497
lr,0.0003,42,17.2780,19.1126,0.0960,19.1421,100,17217
lr,0.0003,43,16.2390,17.9780,0.0967,17.7046,100,17217
lr,0.0003,44,19.2628,20.7559,0.0719,17.1549,100,17217
lr,0.0003,45,17.0987,18.3849,0.0700,19.6991,100,17217
lr,0.0003,46,15.8125,16.9961,0.0696,18.7448,100,17217
lr,0.0003,47,18.2060,19.9189,0.0860,17.9355,100,17217
lr,0.0003,48,16.8900,18.4246,0.0833,17.8230,100,17217
lr,0.0003,49,19.3652,20.0350,0.0334,17.9710,100,17217
lr,0.0003,50,19.2888,20.8447,0.0746,18.0867,100,17217
lr,0.0003,51,16.0747,17.9538,0.1047,17.3846,100,17217
lr,0.0003,52,18.7553,20.6543,0.0919,18.8024,100,17217
lr,0.001,42,17.2548,19.1126,0.0972,19.1007,48,17217
lr,0.001,43,16.3078,17.9780,0.0929,17.6782,46,17217
lr,0.001,44,20.3840,20.7559,0.0179,17.1181,44,17217
lr,0.001,45,16.8785,18.3849,0.0819,19.6658,61,17217
lr,0.001,46,15.5649,16.9961,0.0842,18.6591,66,17217
lr,0.001,47,18.2179,19.9189,0.0854,17.7781,65,17217
lr,0.001,48,17.0268,18.4246,0.0759,17.7046,75,17217
lr,0.001,49,19.0543,20.0350,0.0489,17.9068,59,17217
lr,0.001,50,19.2025,20.8447,0.0788,18.0460,56,17217
lr,0.001,51,16.0169,17.9538,0.1079,17.2796,70,17217
lr,0.001,52,18.6494,20.6543,0.0971,18.2969,89,17217
lr,0.003,42,17.1802,19.1126,0.1011,19.0865,54,17217
lr,0.003,43,16.2160,17.9780,0.0980,17.6490,56,17217
lr,0.003,44,20.3172,20.7559,0.0211,17.0956,30,17217
lr,0.003,45,16.8872,18.3849,0.0815,19.5868,42,17217
lr,0.003,46,15.6945,16.9961,0.0766,18.6704,57,17217
lr,0.003,47,18.1582,19.9189,0.0884,17.7717,55,17217
lr,0.003,48,16.9169,18.4246,0.0818,17.7371,44,17217
lr,0.003,49,19.4938,20.0350,0.0270,17.8864,36,17217
lr,0.003,50,19.1735,20.8447,0.0802,18.0199,46,17217
lr,0.003,51,16.0290,17.9538,0.1072,17.2870,50,17217
lr,0.003,52,18.7133,20.6543,0.0940,18.2603,70,17217
history,6,42,17.3463,19.0882,0.0913,19.1017,62,17217
history,6,43,16.3506,17.9827,0.0908,17.7907,63,17217
history,6,44,18.9194,20.7546,0.0884,17.1257,83,17217
history,6,45,17.0944,18.3700,0.0694,19.7057,50,17217
history,6,46,15.9226,17.0132,0.0641,18.8415,73,17217
history,6,47,18.2362,19.9060,0.0839,17.8729,71,17217
history,6,48,16.9201,18.4363,0.0822,17.8425,59,17217
history,6,49,19.5484,20.0718,0.0261,18.0039,51,17217
history,6,50,19.1253,20.8406,0.0823,18.1433,59,17217
history,6,51,16.2404,17.9525,0.0954,17.3132,71,17217
history,6,52,18.7349,20.6471,0.0926,18.4707,100,17217
history,12,42,17.2548,19.1126,0.0972,19.1007,48,17217
history,12,43,16.3078,17.9780,0.0929,17.6782,46,17217
history,12,44,20.3840,20.7559,0.0179,17.1181,44,17217
history,12,45,16.8785,18.3849,0.0819,19.6658,61,17217
history,12,46,15.5649,16.9961,0.0842,18.6591,66,17217
history,12,47,18.2179,19.9189,0.0854,17.7781,65,17217
history,12,48,17.0268,18.4246,0.0759,17.7046,75,17217
history,12,49,19.0543,20.0350,0.0489,17.9068,59,17217
history,12,50,19.2025,20.8447,0.0788,18.0460,56,17217
history,12,51,16.0169,17.9538,0.1079,17.2796,70,17217
history,12,52,18.6494,20.6543,0.0971,18.2969,89,17217
history,24,42,17.1292,19.1009,0.1032,19.0358,62,17217
history,24,43,16.0487,17.9849,0.1077,17.4632,63,17217
history,24,44,18.7607,20.8027,0.0982,16.9819,66,17217
history,24,45,16.7728,18.3835,0.0876,19.4678,53,17217
history,24,46,15.3869,16.9987,0.0948,18.4516,65,17217
history,24,47,18.0023,19.9550,0.0979,17.8785,71,17217
history,24,48,16.7919,18.4001,0.0874,17.3612,77,17217
history,24,49,19.9276,20.0184,0.0045,17.8101,49,17217
history,24,50,19.0842,20.8436,0.0844,17.7655,69,17217
history,24,51,15.9551,17.9756,0.1124,17.2024,63,17217
history,24,52,18.5900,20.6415,0.0994,18.5193,73,17217
